VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
벵디,11,9,"[0.222222, 0.555556, 0.0, 0.0, 0.111111, 0.111111, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주한림농협하나로마트,10,24,"[0.0, 0.041667, 0.0, 0.0, 0.0, 0.416667, 0.125, 0.166667, 0.125, 0.0, 0.125]",2
스타벅스 제주중문점,11,25,"[0.16, 0.08, 0.0, 0.04, 0.12, 0.2, 0.04, 0.0, 0.28, 0.0, 0.08]",1
제주백정,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
별오름 노형점,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
해녀와바다,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
은혜전복,11,9,"[0.111111, 0.444444, 0.0, 0.0, 0.222222, 0.0, 0.0, 0.111111, 0.111111, 0.0, 0.0]",0
큐티파이호텔,24,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
노형수퍼마켙,3,59,"[0.305085, 0.474576, 0.0, 0.033898, 0.101695, 0.016949, 0.0, 0.016949, 0.016949, 0.0, 0.033898]",2
브라운스위트제주 호텔앤리조트,24,43,"[0.046512, 0.0, 0.0, 0.139535, 0.209302, 0.093023, 0.069767, 0.302326, 0.0, 0.0, 0.139535]",2
리치호텔,24,10,"[0.2, 0.2, 0.0, 0.0, 0.1, 0.0, 0.3, 0.2, 0.0, 0.0, 0.0]",2
마레보비치호텔,24,4,"[0.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",2
원담,11,11,"[0.090909, 0.272727, 0.090909, 0.181818, 0.363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
스카이워터쇼,3,9,"[0.333333, 0.555556, 0.111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
그랑블루요트투어,5,4,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
교래손칼국수,11,6,"[0.0, 0.166667, 0.0, 0.333333, 0.166667, 0.0, 0.0, 0.166667, 0.166667, 0.0, 0.0]",0
